acceleration,cylinders,displacement,horsepower,id,model year,mpg,origin,weight,car0
16.0,4,135.0,84.0,0,82,29.0,1,2525.0,22.144444444444446
14.0,4,89.0,71.0,3,79,31.9,2,1925.0,36.45
15.5,6,156.0,108.0,9,76,19.0,3,2930.0,30.13076923076923
14.5,4,90.0,75.0,11,74,28.0,1,2125.0,22.144444444444446
17.3,4,89.0,62.0,13,81,37.7,3,2050.0,30.13076923076923
18.0,4,151.0,90.0,16,82,27.0,1,2735.0,23.1
18.5,6,250.0,105.0,18,75,16.0,1,3897.0,16.0
11.0,8,350.0,180.0,19,73,11.0,1,3664.0,21.225
12.5,4,121.0,113.0,23,70,26.0,2,2234.0,23.75
15.2,8,318.0,135.0,24,79,18.2,1,3830.0,22.144444444444446
16.7,6,168.0,120.0,25,76,16.5,2,3820.0,23.25
14.5,4,105.0,75.0,28,78,30.9,1,2230.0,22.144444444444446
14.5,4,97.0,88.0,31,70,27.0,3,2130.0,30.571428571428573
12.0,8,350.0,165.0,32,71,14.0,1,4209.0,20.28148148148148
16.0,6,232.0,100.0,35,73,18.0,1,2945.0,18.375
18.0,4,96.0,69.0,36,72,26.0,2,2189.0,33.800000000000004
15.5,4,98.0,70.0,38,80,32.1,1,2120.0,20.28148148148148
22.1,4,98.0,60.0,39,76,24.5,1,2164.0,20.28148148148148
20.4,4,141.0,80.0,40,81,28.1,2,3230.0,25.55
11.4,6,168.0,132.0,41,80,32.7,3,2910.0,30.571428571428573
18.5,4,122.0,85.0,42,73,19.0,1,2310.0,20.23
14.9,8,302.0,130.0,43,77,15.0,1,4295.0,19.216666666666665
15.5,4,108.0,93.0,44,74,26.0,3,2391.0,29.9
15.4,8,305.0,130.0,47,79,17.0,1,3840.0,20.28148148148148
20.5,4,151.0,,48,82,23.0,1,3035.0,18.375
18.2,6,200.0,85.0,50,79,19.8,1,2990.0,19.216666666666665
12.0,8,400.0,175.0,53,71,13.0,1,5140.0,23.1
13.0,4,135.0,84.0,57,82,36.0,1,2370.0,22.144444444444446
15.5,6,250.0,100.0,58,71,17.0,1,3329.0,20.28148148148148
17.0,6,262.0,85.0,62,82,38.0,1,3015.0,21.225
18.5,4,98.0,68.0,67,77,31.5,3,2045.0,33.06666666666666
17.0,6,250.0,100.0,69,74,16.0,1,3781.0,20.28148148148148
14.9,4,89.0,71.0,70,78,31.5,2,1990.0,30.110000000000003
16.9,4,79.0,58.0,71,81,39.1,3,1755.0,30.13076923076923
14.0,4,121.0,110.0,72,73,24.0,2,2660.0,24.5
21.0,4,71.0,65.0,75,74,32.0,3,1836.0,30.13076923076923
19.0,6,258.0,110.0,77,75,15.0,1,3730.0,18.375
18.0,4,97.0,67.0,79,80,33.8,3,2145.0,29.9
17.5,4,120.0,75.0,80,80,31.3,3,2542.0,28.53333333333333
18.5,4,140.0,78.0,82,75,23.0,1,2592.0,23.1
21.5,4,90.0,48.0,83,78,43.1,2,1985.0,30.110000000000003
15.7,4,135.0,84.0,84,81,27.2,1,2490.0,25.315384615384612
14.7,6,232.0,112.0,86,82,22.0,1,2835.0,20.23
16.0,6,232.0,100.0,87,74,19.0,1,2901.0,18.375
16.0,4,122.0,86.0,88,72,22.0,1,2395.0,20.23
17.0,4,140.0,83.0,91,75,23.0,1,2639.0,20.23
12.0,8,350.0,165.0,93,72,13.0,1,4274.0,20.28148148148148
16.6,6,225.0,110.0,94,79,20.6,1,3360.0,22.144444444444446
16.1,4,81.0,60.0,95,81,35.1,3,1760.0,33.06666666666666
13.8,4,91.0,67.0,98,80,44.6,3,1850.0,33.06666666666666
16.9,4,116.0,81.0,99,76,25.0,2,2220.0,26.333333333333332
18.0,6,250.0,100.0,104,73,16.0,1,3278.0,20.28148148148148
19.4,4,119.0,82.0,105,82,31.0,1,2720.0,20.5
16.2,4,112.0,85.0,109,82,31.0,1,2575.0,23.1
14.9,4,140.0,92.0,110,76,25.0,1,2572.0,25.0
14.7,4,119.0,97.0,111,78,27.2,3,2300.0,30.571428571428573
11.0,8,360.0,175.0,115,73,13.0,1,3821.0,18.375
14.5,4,88.0,76.0,117,71,30.0,2,2065.0,27.75
18.5,8,304.0,193.0,118,70,9.0,1,4732.0,9.0
16.9,4,108.0,70.0,119,82,34.0,3,2245.0,30.13076923076923
16.5,4,90.0,71.0,121,75,25.0,2,2223.0,30.110000000000003
12.8,4,121.0,110.0,123,77,21.5,2,2600.0,23.75
18.8,4,89.0,60.0,125,80,38.1,3,1968.0,30.13076923076923
13.5,8,351.0,148.0,127,75,14.0,1,4657.0,20.23
14.5,4,120.0,97.0,128,72,23.0,3,2506.0,23.0
15.8,4,97.0,78.0,129,80,34.3,2,2188.0,35.349999999999994
19.0,4,140.0,72.0,130,71,22.0,1,2408.0,20.28148148148148
11.4,8,350.0,170.0,131,77,15.5,1,4165.0,20.28148148148148
14.0,8,302.0,140.0,139,74,16.0,1,4141.0,20.23
9.0,8,454.0,220.0,143,70,14.0,1,4354.0,20.28148148148148
17.7,4,98.0,79.0,147,76,26.0,1,2255.0,22.144444444444446
14.0,4,116.0,90.0,148,71,28.0,2,2123.0,26.333333333333332
14.8,4,119.0,100.0,149,81,32.9,3,2615.0,30.571428571428573
12.9,4,135.0,84.0,151,81,30.0,1,2385.0,25.315384615384612
16.4,6,181.0,110.0,152,82,25.0,1,2945.0,20.6375
10.0,8,429.0,198.0,157,70,15.0,1,4341.0,20.23
17.0,4,120.0,88.0,160,75,23.0,2,2957.0,25.55
16.0,8,302.0,140.0,161,74,14.0,1,4638.0,20.23
13.8,6,146.0,120.0,163,81,24.2,3,2930.0,30.571428571428573
17.0,6,232.0,90.0,165,75,19.0,1,3211.0,18.375
19.0,4,97.0,60.0,166,71,27.0,2,1834.0,30.110000000000003
12.5,8,318.0,150.0,169,73,15.0,1,3777.0,22.144444444444446
14.5,6,250.0,105.0,172,76,22.0,1,3353.0,20.28148148148148
12.0,8,307.0,130.0,174,70,18.0,1,3504.0,20.28148148148148
10.0,8,383.0,170.0,177,70,15.0,1,3563.0,22.144444444444446
16.4,4,86.0,64.0,178,81,39.0,1,1875.0,25.315384615384612
15.5,4,79.0,67.0,180,74,26.0,2,1963.0,30.110000000000003
