id,mpg,acceleration,cylinders,displacement,horsepower,model year,origin,weight,acceleration cylinders,acceleration displacement,acceleration horsepower,acceleration model year,acceleration origin,acceleration weight,cylinders displacement,cylinders horsepower,cylinders model year,cylinders origin,cylinders weight,displacement horsepower,displacement model year,displacement origin,displacement weight,horsepower model year,horsepower origin,horsepower weight,model year origin,model year weight,origin weight
0,29.0,16.0,4.0,135.0,84.0,82.0,1.0,2525.0,64.0,2160.0,1344.0,1312.0,16.0,40400.0,540.0,336.0,328.0,4.0,10100.0,11340.0,11070.0,135.0,340875.0,6888.0,84.0,212100.0,82.0,207050.0,2525.0
3,31.9,14.0,4.0,89.0,71.0,79.0,2.0,1925.0,56.0,1246.0,994.0,1106.0,28.0,26950.0,356.0,284.0,316.0,8.0,7700.0,6319.0,7031.0,178.0,171325.0,5609.0,142.0,136675.0,158.0,152075.0,3850.0
9,19.0,15.5,6.0,156.0,108.0,76.0,3.0,2930.0,93.0,2418.0,1674.0,1178.0,46.5,45415.0,936.0,648.0,456.0,18.0,17580.0,16848.0,11856.0,468.0,457080.0,8208.0,324.0,316440.0,228.0,222680.0,8790.0
11,28.0,14.5,4.0,90.0,75.0,74.0,1.0,2125.0,58.0,1305.0,1087.5,1073.0,14.5,30812.5,360.0,300.0,296.0,4.0,8500.0,6750.0,6660.0,90.0,191250.0,5550.0,75.0,159375.0,74.0,157250.0,2125.0
13,37.7,17.3,4.0,89.0,62.0,81.0,3.0,2050.0,69.2,1539.7,1072.6000000000001,1401.3,51.900000000000006,35465.0,356.0,248.0,324.0,12.0,8200.0,5518.0,7209.0,267.0,182450.0,5022.0,186.0,127100.0,243.0,166050.0,6150.0
16,27.0,18.0,4.0,151.0,90.0,82.0,1.0,2735.0,72.0,2718.0,1620.0,1476.0,18.0,49230.0,604.0,360.0,328.0,4.0,10940.0,13590.0,12382.0,151.0,412985.0,7380.0,90.0,246150.0,82.0,224270.0,2735.0
18,16.0,18.5,6.0,250.0,105.0,75.0,1.0,3897.0,111.0,4625.0,1942.5,1387.5,18.5,72094.5,1500.0,630.0,450.0,6.0,23382.0,26250.0,18750.0,250.0,974250.0,7875.0,105.0,409185.0,75.0,292275.0,3897.0
19,11.0,11.0,8.0,350.0,180.0,73.0,1.0,3664.0,88.0,3850.0,1980.0,803.0,11.0,40304.0,2800.0,1440.0,584.0,8.0,29312.0,63000.0,25550.0,350.0,1282400.0,13140.0,180.0,659520.0,73.0,267472.0,3664.0
23,26.0,12.5,4.0,121.0,113.0,70.0,2.0,2234.0,50.0,1512.5,1412.5,875.0,25.0,27925.0,484.0,452.0,280.0,8.0,8936.0,13673.0,8470.0,242.0,270314.0,7910.0,226.0,252442.0,140.0,156380.0,4468.0
24,18.2,15.2,8.0,318.0,135.0,79.0,1.0,3830.0,121.6,4833.599999999999,2052.0,1200.8,15.2,58216.0,2544.0,1080.0,632.0,8.0,30640.0,42930.0,25122.0,318.0,1217940.0,10665.0,135.0,517050.0,79.0,302570.0,3830.0
